steinmetz::27,Kuhn2002
steinmetz::29,Keller2004
steinmetz::32,Michler2000
steinmetz::34,Yuan2002
steinmetz::36,Lounis2005
steinmetz::52,Bundy1989
steinmetz::56,Saotome1998
steinmetz::57,Clark1964
steinmetz::58,Zaitsev2001
steinmetz::59,Massarani1978
steinmetz::62,May2000
steinmetz::70,Kennedy2003
steinmetz::71,Greentree2008
,
janine::15,Mueller2014
janine::16,Pingault2014
janine::17,Rogers2014a
janine::24,Collins1983
janine::25,Neu2011b
janine::26,Rogers2014
janine::27,Sipahigil2014
janine::55,Neu2012a
janine::64,Aharonovich2014
janine::148,Kaiser1959
janine::149,Breeding2009
janine::153,Prawer2014
janine::165,Manson2006
janine::166,Jelezko2002
janine::167,Santori2006
janine::213,Doherty2013
janine::222,Goss2007
janine::223,Hepp2014
janine::224,DHaenens-Johansson2011
janine::226,Dietrich2014a
janine::229,Gali2013b
janine::231,Clark1995
,
neu::12,Huttner1995
neu::25,Zaitsev2000
neu::35,Muller2011
neu::39,Duligall2006
neu::40,Yuan2002
neu::41,Nothaft2012
neu::49,Beveratos2001
neu::84,Walker1979
neu::85,Markham2011
neu::86,Balasubramanian2009
neu::87,Mildren2008
neu::91,Saslow1966
neu::94,Davies1981
neu::111,Sternschulte1994
neu::131,Iakoubovskii2000
neu::136,Rossi1997
neu::137,Siyushev2009
neu::139,Feng1993b
neu::147,Solin1970
neu::149,Grimsditch1978
